window_id,day,entity,stream_type,segment_id,video_path,video_start_time,video_end_time,target_clock_time,offset_seconds,frame_path,log_path,status
DAY1_100500000,DAY1,Allie,ego,10,main/day1/Allie/video/10.mp4,10:00:00.000,10:59:59.980,10:06:00.000,360.000,castle_incremental_qa_poc/frames/DAY1_100500000/overview/Allie_100600000.jpg,castle_incremental_qa_poc/ffmpeg_logs/DAY1_100500000/overview/Allie_100600000.stderr.txt,ffmpeg_failed
DAY1_100500000,DAY1,Bjorn,ego,10,main/day1/Bjorn/video/10.mp4,10:00:00.060,10:59:59.960,10:06:00.000,359.940,castle_incremental_qa_poc/frames/DAY1_100500000/overview/Bjorn_100600000.jpg,castle_incremental_qa_poc/ffmpeg_logs/DAY1_100500000/overview/Bjorn_100600000.stderr.txt,ffmpeg_failed
DAY1_100500000,DAY1,Cathal,ego,10,main/day1/Cathal/video/10.mp4,10:00:00.040,10:59:59.940,10:06:00.000,359.960,castle_incremental_qa_poc/frames/DAY1_100500000/overview/Cathal_100600000.jpg,castle_incremental_qa_poc/ffmpeg_logs/DAY1_100500000/overview/Cathal_100600000.stderr.txt,ffmpeg_failed
DAY1_100500000,DAY1,Florian,ego,10,main/day1/Florian/video/10.mp4,10:00:00.060,10:59:59.960,10:06:00.000,359.940,castle_incremental_qa_poc/frames/DAY1_100500000/overview/Florian_100600000.jpg,castle_incremental_qa_poc/ffmpeg_logs/DAY1_100500000/overview/Florian_100600000.stderr.txt,not_attempted_after_consecutive_failures
DAY1_100500000,DAY1,Klaus,ego,10,main/day1/Klaus/video/10.mp4,10:03:54.740,10:59:59.940,10:06:00.000,125.260,castle_incremental_qa_poc/frames/DAY1_100500000/overview/Klaus_100600000.jpg,castle_incremental_qa_poc/ffmpeg_logs/DAY1_100500000/overview/Klaus_100600000.stderr.txt,not_attempted_after_consecutive_failures
DAY1_100500000,DAY1,Luca,ego,10,main/day1/Luca/video/10.mp4,10:00:00.060,10:59:59.960,10:06:00.000,359.940,castle_incremental_qa_poc/frames/DAY1_100500000/overview/Luca_100600000.jpg,castle_incremental_qa_poc/ffmpeg_logs/DAY1_100500000/overview/Luca_100600000.stderr.txt,not_attempted_after_consecutive_failures
DAY1_100500000,DAY1,Onanong,ego,10,main/day1/Onanong/video/10.mp4,10:00:00.000,10:59:59.900,10:06:00.000,360.000,castle_incremental_qa_poc/frames/DAY1_100500000/overview/Onanong_100600000.jpg,castle_incremental_qa_poc/ffmpeg_logs/DAY1_100500000/overview/Onanong_100600000.stderr.txt,not_attempted_after_consecutive_failures
DAY1_100500000,DAY1,Stevan,ego,10,main/day1/Stevan/video/10.mp4,10:00:00.020,10:59:59.980,10:06:00.000,359.980,castle_incremental_qa_poc/frames/DAY1_100500000/overview/Stevan_100600000.jpg,castle_incremental_qa_poc/ffmpeg_logs/DAY1_100500000/overview/Stevan_100600000.stderr.txt,not_attempted_after_consecutive_failures
DAY1_100500000,DAY1,Tien,ego,10,main/day1/Tien/video/10.mp4,10:00:00.020,10:59:59.920,10:06:00.000,359.980,castle_incremental_qa_poc/frames/DAY1_100500000/overview/Tien_100600000.jpg,castle_incremental_qa_poc/ffmpeg_logs/DAY1_100500000/overview/Tien_100600000.stderr.txt,not_attempted_after_consecutive_failures
DAY1_100500000,DAY1,Werner,ego,10,main/day1/Werner/video/10.mp4,10:02:29.260,10:59:59.960,10:06:00.000,210.740,castle_incremental_qa_poc/frames/DAY1_100500000/overview/Werner_100600000.jpg,castle_incremental_qa_poc/ffmpeg_logs/DAY1_100500000/overview/Werner_100600000.stderr.txt,not_attempted_after_consecutive_failures
DAY1_100500000,DAY1,Kitchen,static,10,main/day1/Kitchen/video/10.mp4,10:00:00.060,10:59:59.960,10:06:00.000,359.940,castle_incremental_qa_poc/frames/DAY1_100500000/overview/Kitchen_100600000.jpg,castle_incremental_qa_poc/ffmpeg_logs/DAY1_100500000/overview/Kitchen_100600000.stderr.txt,not_attempted_after_consecutive_failures
DAY1_100500000,DAY1,Living1,static,10,main/day1/Living1/video/10.mp4,10:00:00.040,10:59:59.940,10:06:00.000,359.960,castle_incremental_qa_poc/frames/DAY1_100500000/overview/Living1_100600000.jpg,castle_incremental_qa_poc/ffmpeg_logs/DAY1_100500000/overview/Living1_100600000.stderr.txt,not_attempted_after_consecutive_failures
DAY1_100500000,DAY1,Living2,static,10,main/day1/Living2/video/10.mp4,10:00:00.060,10:59:59.960,10:06:00.000,359.940,castle_incremental_qa_poc/frames/DAY1_100500000/overview/Living2_100600000.jpg,castle_incremental_qa_poc/ffmpeg_logs/DAY1_100500000/overview/Living2_100600000.stderr.txt,not_attempted_after_consecutive_failures
DAY1_100500000,DAY1,Meeting,static,10,main/day1/Meeting/video/10.mp4,10:00:00.000,10:59:59.900,10:06:00.000,360.000,castle_incremental_qa_poc/frames/DAY1_100500000/overview/Meeting_100600000.jpg,castle_incremental_qa_poc/ffmpeg_logs/DAY1_100500000/overview/Meeting_100600000.stderr.txt,not_attempted_after_consecutive_failures
DAY1_100500000,DAY1,Reading,static,10,main/day1/Reading/video/10.mp4,10:00:00.040,10:59:59.940,10:06:00.000,359.960,castle_incremental_qa_poc/frames/DAY1_100500000/overview/Reading_100600000.jpg,castle_incremental_qa_poc/ffmpeg_logs/DAY1_100500000/overview/Reading_100600000.stderr.txt,not_attempted_after_consecutive_failures
