window_id,day,entity,stream_type,segment_id,video_path,video_start_time,video_end_time,target_clock_time,offset_seconds,frame_path,log_path,status
DAY4_120500000,DAY4,Allie,ego,12,main/day4/Allie/video/12.mp4,12:00:00.080,12:59:59.980,12:06:00.000,359.920,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Allie_120600000.jpg,castle_incremental_qa_poc_conda3/ffmpeg_logs/DAY4_120500000/overview/Allie_120600000.stderr.txt,ok
DAY4_120500000,DAY4,Bao,ego,12,main/day4/Bao/video/12.mp4,12:00:00.000,12:59:59.980,12:06:00.000,360.000,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Bao_120600000.jpg,castle_incremental_qa_poc_conda3/ffmpeg_logs/DAY4_120500000/overview/Bao_120600000.stderr.txt,ok
DAY4_120500000,DAY4,Bjorn,ego,12,main/day4/Bjorn/video/12.mp4,12:01:13.100,12:59:59.900,12:06:00.000,286.900,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Bjorn_120600000.jpg,castle_incremental_qa_poc_conda3/ffmpeg_logs/DAY4_120500000/overview/Bjorn_120600000.stderr.txt,ok
DAY4_120500000,DAY4,Cathal,ego,12,main/day4/Cathal/video/12.mp4,12:04:54.740,12:59:59.940,12:06:00.000,65.260,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Cathal_120600000.jpg,castle_incremental_qa_poc_conda3/ffmpeg_logs/DAY4_120500000/overview/Cathal_120600000.stderr.txt,ok
DAY4_120500000,DAY4,Florian,ego,12,main/day4/Florian/video/12.mp4,12:00:00.000,12:59:59.900,12:06:00.000,360.000,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Florian_120600000.jpg,castle_incremental_qa_poc_conda3/ffmpeg_logs/DAY4_120500000/overview/Florian_120600000.stderr.txt,ok
DAY4_120500000,DAY4,Klaus,ego,12,main/day4/Klaus/video/12.mp4,12:00:00.060,12:59:59.980,12:06:00.000,359.940,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Klaus_120600000.jpg,castle_incremental_qa_poc_conda3/ffmpeg_logs/DAY4_120500000/overview/Klaus_120600000.stderr.txt,ok
DAY4_120500000,DAY4,Luca,ego,12,main/day4/Luca/video/12.mp4,12:00:00.000,12:59:59.960,12:06:00.000,360.000,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Luca_120600000.jpg,castle_incremental_qa_poc_conda3/ffmpeg_logs/DAY4_120500000/overview/Luca_120600000.stderr.txt,ok
DAY4_120500000,DAY4,Onanong,ego,12,main/day4/Onanong/video/12.mp4,12:00:00.020,12:59:59.900,12:06:00.000,359.980,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Onanong_120600000.jpg,castle_incremental_qa_poc_conda3/ffmpeg_logs/DAY4_120500000/overview/Onanong_120600000.stderr.txt,ok
DAY4_120500000,DAY4,Stevan,ego,12,main/day4/Stevan/video/12.mp4,12:00:00.060,12:59:59.960,12:06:00.000,359.940,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Stevan_120600000.jpg,castle_incremental_qa_poc_conda3/ffmpeg_logs/DAY4_120500000/overview/Stevan_120600000.stderr.txt,ok
DAY4_120500000,DAY4,Werner,ego,12,main/day4/Werner/video/12.mp4,12:00:00.040,12:59:59.960,12:06:00.000,359.960,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Werner_120600000.jpg,castle_incremental_qa_poc_conda3/ffmpeg_logs/DAY4_120500000/overview/Werner_120600000.stderr.txt,ok
DAY4_120500000,DAY4,Kitchen,static,12,main/day4/Kitchen/video/12.mp4,12:00:00.080,12:59:59.980,12:06:00.000,359.920,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Kitchen_120600000.jpg,castle_incremental_qa_poc_conda3/ffmpeg_logs/DAY4_120500000/overview/Kitchen_120600000.stderr.txt,ok
DAY4_120500000,DAY4,Living1,static,12,main/day4/Living1/video/12.mp4,12:00:00.080,12:59:59.980,12:06:00.000,359.920,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Living1_120600000.jpg,castle_incremental_qa_poc_conda3/ffmpeg_logs/DAY4_120500000/overview/Living1_120600000.stderr.txt,ok
DAY4_120500000,DAY4,Living2,static,12,main/day4/Living2/video/12.mp4,12:00:00.020,12:59:59.920,12:06:00.000,359.980,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Living2_120600000.jpg,castle_incremental_qa_poc_conda3/ffmpeg_logs/DAY4_120500000/overview/Living2_120600000.stderr.txt,ok
DAY4_120500000,DAY4,Meeting,static,12,main/day4/Meeting/video/12.mp4,12:00:00.000,12:59:59.900,12:06:00.000,360.000,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Meeting_120600000.jpg,castle_incremental_qa_poc_conda3/ffmpeg_logs/DAY4_120500000/overview/Meeting_120600000.stderr.txt,ok
DAY4_120500000,DAY4,Reading,static,12,main/day4/Reading/video/12.mp4,12:00:00.000,12:59:59.900,12:06:00.000,360.000,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Reading_120600000.jpg,castle_incremental_qa_poc_conda3/ffmpeg_logs/DAY4_120500000/overview/Reading_120600000.stderr.txt,ok
