window_id,day,clock_time,entity,stream_type,video_path,frame_path,relevance_level,visible_cues,notes,needs_manual_review
DAY1_100500000,DAY1,10:06:00.000,Allie,ego,main/day1/Allie/video/10.mp4,castle_incremental_qa_poc_conda3/frames/DAY1_100500000/overview/Allie_100600000.jpg,unclear,,not labeled yet; needs manual review,yes
DAY1_100500000,DAY1,10:06:00.000,Bjorn,ego,main/day1/Bjorn/video/10.mp4,castle_incremental_qa_poc_conda3/frames/DAY1_100500000/overview/Bjorn_100600000.jpg,unclear,,not labeled yet; needs manual review,yes
DAY1_100500000,DAY1,10:06:00.000,Cathal,ego,main/day1/Cathal/video/10.mp4,castle_incremental_qa_poc_conda3/frames/DAY1_100500000/overview/Cathal_100600000.jpg,unclear,,not labeled yet; needs manual review,yes
DAY1_100500000,DAY1,10:06:00.000,Florian,ego,main/day1/Florian/video/10.mp4,castle_incremental_qa_poc_conda3/frames/DAY1_100500000/overview/Florian_100600000.jpg,unclear,,not labeled yet; needs manual review,yes
DAY1_100500000,DAY1,10:06:00.000,Klaus,ego,main/day1/Klaus/video/10.mp4,castle_incremental_qa_poc_conda3/frames/DAY1_100500000/overview/Klaus_100600000.jpg,invalid_or_calibration,calibration_pattern,seeded from prior manual inspection: test/calibration-like view,no
DAY1_100500000,DAY1,10:06:00.000,Luca,ego,main/day1/Luca/video/10.mp4,castle_incremental_qa_poc_conda3/frames/DAY1_100500000/overview/Luca_100600000.jpg,unclear,,not labeled yet; needs manual review,yes
DAY1_100500000,DAY1,10:06:00.000,Onanong,ego,main/day1/Onanong/video/10.mp4,castle_incremental_qa_poc_conda3/frames/DAY1_100500000/overview/Onanong_100600000.jpg,direct_event_detail,speaker_visible;audience_visible;object_visible,seeded from prior manual inspection: ego view aligned to living-room presentation event,no
DAY1_100500000,DAY1,10:06:00.000,Stevan,ego,main/day1/Stevan/video/10.mp4,castle_incremental_qa_poc_conda3/frames/DAY1_100500000/overview/Stevan_100600000.jpg,unclear,,not labeled yet; needs manual review,yes
DAY1_100500000,DAY1,10:06:00.000,Tien,ego,main/day1/Tien/video/10.mp4,castle_incremental_qa_poc_conda3/frames/DAY1_100500000/overview/Tien_100600000.jpg,direct_event_detail,speaker_visible;audience_visible;object_visible,seeded from prior manual inspection: ego view aligned to living-room presentation event,no
DAY1_100500000,DAY1,10:06:00.000,Werner,ego,main/day1/Werner/video/10.mp4,castle_incremental_qa_poc_conda3/frames/DAY1_100500000/overview/Werner_100600000.jpg,unclear,,not labeled yet; needs manual review,yes
DAY1_100500000,DAY1,10:06:00.000,Kitchen,static,main/day1/Kitchen/video/10.mp4,castle_incremental_qa_poc_conda3/frames/DAY1_100500000/overview/Kitchen_100600000.jpg,off_event,empty_room;kitchen_scene,seeded from prior manual inspection: active stream but irrelevant empty kitchen,no
DAY1_100500000,DAY1,10:06:00.000,Living1,static,main/day1/Living1/video/10.mp4,castle_incremental_qa_poc_conda3/frames/DAY1_100500000/overview/Living1_100600000.jpg,spatial_context_only,audience_visible;room_layout_only,seeded from prior manual inspection: broad spatial context for the event,no
DAY1_100500000,DAY1,10:06:00.000,Living2,static,main/day1/Living2/video/10.mp4,castle_incremental_qa_poc_conda3/frames/DAY1_100500000/overview/Living2_100600000.jpg,spatial_context_only,room_layout_only,"seeded from prior manual inspection: broad spatial context, less direct than Meeting",no
DAY1_100500000,DAY1,10:06:00.000,Meeting,static,main/day1/Meeting/video/10.mp4,castle_incremental_qa_poc_conda3/frames/DAY1_100500000/overview/Meeting_100600000.jpg,direct_static_event,speaker_visible;audience_visible;room_layout_only,seeded from prior manual inspection: static view directly relevant to group presentation event,no
DAY1_100500000,DAY1,10:06:00.000,Reading,static,main/day1/Reading/video/10.mp4,castle_incremental_qa_poc_conda3/frames/DAY1_100500000/overview/Reading_100600000.jpg,off_event,empty_room;room_layout_only,seeded from prior manual inspection: active stream but off-event reading room,no
DAY4_120500000,DAY4,12:06:00.000,Allie,ego,main/day4/Allie/video/12.mp4,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Allie_120600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
DAY4_120500000,DAY4,12:06:00.000,Bao,ego,main/day4/Bao/video/12.mp4,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Bao_120600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
DAY4_120500000,DAY4,12:06:00.000,Bjorn,ego,main/day4/Bjorn/video/12.mp4,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Bjorn_120600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
DAY4_120500000,DAY4,12:06:00.000,Cathal,ego,main/day4/Cathal/video/12.mp4,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Cathal_120600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
DAY4_120500000,DAY4,12:06:00.000,Florian,ego,main/day4/Florian/video/12.mp4,castle_incremental_qa_poc_conda3/frames/DAY4_120500000/overview/Florian_120600000.jpg,unclear,,unlabeled high-overlap view; needs manual review,yes
