group,label,count,percent
category,count_quantity,37,20.0
category,visual_detail_color,46,24.9
category,brand_logo_ocr_text,13,7.0
category,spatial_location,24,13.0
category,audio_speech,13,7.0
category,temporal_history,89,48.1
category,multi_user_copresence,76,41.1
category,external_source_candidate,80,43.2
category,raw_visual_needed,96,51.9
category,gaze_relevant,97,52.4
category,pose_fov_relevant,25,13.5
category,communication_sensitive,80,43.2
route_any,self_caption,32,17.3
route_any,self_audio,13,7.0
route_any,self_raw_frame,96,51.9
route_any,self_highres_crop,27,14.6
route_any,self_short_clip,46,24.9
route_any,self_history,89,48.1
route_any,external_user_view,80,43.2
route_any,external_user_audio,7,3.8
route_any,static_room_source,21,11.4
route_any,auxiliary_modality,97,52.4
route_primary,self_caption,32,17.3
route_primary,self_audio,6,3.2
route_primary,self_raw_frame,77,41.6
route_primary,self_highres_crop,13,7.0
route_primary,self_short_clip,0,0.0
route_primary,self_history,50,27.0
route_primary,external_user_view,0,0.0
route_primary,external_user_audio,7,3.8
route_primary,static_room_source,0,0.0
route_primary,auxiliary_modality,0,0.0
