question_id,parse_status,context_type,parsed_context_count,context_day,context_start,context_end,context_start_hms,context_end_hms,agents_in_context,agents_count,parsed_contexts_json,raw_contexts_json
0,ok,dict,1,1,44100.0,44400.0,12:15:00.00,12:20:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,6,"[{""day"": 1, ""end_time"": 44400.0, ""raw"": ""DAY1_12150000_12200000"", ""start_time"": 44100.0}]","{""DAY1_12150000_12200000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
1,ok,dict,1,1,45900.0,46200.0,12:45:00.00,12:50:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,6,"[{""day"": 1, ""end_time"": 46200.0, ""raw"": ""DAY1_12450000_12500000"", ""start_time"": 45900.0}]","{""DAY1_12450000_12500000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
2,ok,dict,1,1,49800.0,50100.0,13:50:00.00,13:55:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,6,"[{""day"": 1, ""end_time"": 50100.0, ""raw"": ""DAY1_13500000_13550000"", ""start_time"": 49800.0}]","{""DAY1_13500000_13550000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""SHURE""]}"
3,ok,dict,1,1,50100.0,50400.0,13:55:00.00,14:00:00.00,Jake;Alice;Tasha;Lucia;Shure,5,"[{""day"": 1, ""end_time"": 50400.0, ""raw"": ""DAY1_13550000_14000000"", ""start_time"": 50100.0}]","{""DAY1_13550000_14000000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""SHURE""]}"
4,ok,dict,1,1,50100.0,50400.0,13:55:00.00,14:00:00.00,Jake;Alice;Tasha;Lucia;Shure,5,"[{""day"": 1, ""end_time"": 50400.0, ""raw"": ""DAY1_13550000_14000000"", ""start_time"": 50100.0}]","{""DAY1_13550000_14000000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""SHURE""]}"
5,ok,dict,1,1,50100.0,50400.0,13:55:00.00,14:00:00.00,Jake;Alice;Tasha;Lucia;Shure,5,"[{""day"": 1, ""end_time"": 50400.0, ""raw"": ""DAY1_13550000_14000000"", ""start_time"": 50100.0}]","{""DAY1_13550000_14000000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""SHURE""]}"
6,ok,dict,1,1,50700.0,51000.0,14:05:00.00,14:10:00.00,Jake;Alice;Tasha;Lucia;Shure,5,"[{""day"": 1, ""end_time"": 51000.0, ""raw"": ""DAY1_14050000_14100000"", ""start_time"": 50700.0}]","{""DAY1_14050000_14100000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""SHURE""]}"
7,ok,dict,1,1,50700.0,51000.0,14:05:00.00,14:10:00.00,Jake;Alice;Tasha;Lucia;Shure,5,"[{""day"": 1, ""end_time"": 51000.0, ""raw"": ""DAY1_14050000_14100000"", ""start_time"": 50700.0}]","{""DAY1_14050000_14100000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""SHURE""]}"
8,ok,dict,1,1,50700.0,51000.0,14:05:00.00,14:10:00.00,Jake;Alice;Tasha;Lucia;Shure,5,"[{""day"": 1, ""end_time"": 51000.0, ""raw"": ""DAY1_14050000_14100000"", ""start_time"": 50700.0}]","{""DAY1_14050000_14100000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""SHURE""]}"
9,ok,dict,1,1,61800.0,62100.0,17:10:00.00,17:15:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,6,"[{""day"": 1, ""end_time"": 62100.0, ""raw"": ""DAY1_17100000_17150000"", ""start_time"": 61800.0}]","{""DAY1_17100000_17150000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
